page_url,days_since_update,avg_position,yoy_traffic_decay,impressions,has_schema,word_count,archetype,recommended_action,reason_code,priority_score
https://flyrank.ai/blog/page-0216,276,21.519755719711583,0.5988432579750648,42451,0,3190,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.97
https://flyrank.ai/blog/page-0791,403,27.41890255708747,0.5984745989773848,34816,1,533,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.95
https://flyrank.ai/blog/page-0505,447,42.394378177727496,0.5968062613339169,29367,1,641,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.9
https://flyrank.ai/blog/page-0722,706,20.299355877053767,0.5956938722297888,19078,1,3418,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.87
https://flyrank.ai/blog/page-0576,687,23.163595941396707,0.5949717872993492,28427,1,1872,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.85
https://flyrank.ai/blog/page-0151,711,12.91543735897325,0.5942669659445544,40795,1,1168,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.83
https://flyrank.ai/blog/page-0998,325,23.039447792244804,0.5939295310949544,22967,0,441,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.82
https://flyrank.ai/blog/page-0670,697,29.682363855440855,0.5916251763089143,35942,1,2618,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.75
https://flyrank.ai/blog/page-0386,694,33.10685705131206,0.5888772233255485,28062,1,3447,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.67
https://flyrank.ai/blog/page-0694,39,24.953482432589087,0.588809214247325,11807,1,1254,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.66
https://flyrank.ai/blog/page-0371,437,8.540899410652898,0.5884650309006554,6133,1,2005,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.65
https://flyrank.ai/blog/page-0289,710,42.38292052821845,0.5869079633480726,7314,1,1187,Decaying Core,Priority Content Refresh,RC01_DECAY_HIGH_AUTHORITY,97.61
